,0,,1,",",2
306,9,",",59,",",6.384705067
307,9,",",58.44990921,",",6.5
308,9,",",61,",",5.966491699
309,9,",",63,",",5.550898552
310,9,",",65,",",5.132838249
311,9,",",63.24533081,",",5.5
312,9,",",67,",",4.717126846
313,9,",",69,",",4.301960707
314,9,",",68.04958344,",",4.5
315,9,",",71,",",3.887390614
316,8.68543148,",",73,",",3.5
317,9,",",73,",",3.476104021
318,9,",",72.88446045,",",3.5
319,9,",",75,",",3.06388855
320,9,",",77,",",2.655672789
321,9,",",79,",",2.248736739
322,9,",",77.76738739,",",2.5
323,9,",",81,",",1.844412565
324,8.286525249,",",83,",",1.5
325,9,",",83,",",1.443932056
326,9,",",82.7209549,",",1.5
327,9,",",85,",",1.044526875
328,9,",",87,",",0.64988406
329,9,",",87.76597595,",",0.5
330,9.278014183,",",3,",",16.5
331,11,",",3,",",16.52754021
332,11,",",1,",",16.6037674
333,11,",",5,",",16.37622833
334,11,",",3.384751081,",",16.5
335,11,",",7,",",16.16474819
336,11,",",9,",",15.90848064
337,11,",",11,",",15.61927891
338,11,",",13,",",15.29798889
339,11,",",11.77352238,",",15.5
340,11,",",15,",",14.95612049
341,11,",",17,",",14.60463142
342,11,",",19,",",14.23765945
343,11,",",17.5925045,",",14.5
344,11,",",21,",",13.86464882
345,10.87405968,",",23,",",13.5
346,11,",",23,",",13.4907608
347,11,",",22.95273018,",",13.5
348,11,",",25,",",13.10532093
349,11,",",27,",",12.72161579
350,11,",",29,",",12.33466434
351,11,",",28.16264725,",",12.5
352,11,",",31,",",11.94322014
353,11,",",33,",",11.55353451
354,11,",",35,",",11.15653896
355,11,",",33.27610397,",",11.5
356,11,",",37,",",10.75980377
357,9.011120796,",",39,",",10.5
358,11,",",39,",",10.36104584
359,11,",",38.3133316,",",10.5
360,11,",",41,",",9.957517624
361,11,",",43,",",9.55516243
362,11,",",45,",",9.14650631
363,11,",",43.27413177,",",9.5
364,11,",",47,",",8.737990379
365,11,",",49,",",8.327350616
366,11,",",48.16635132,",",8.5
367,11,",",51,",",7.913587093
368,11,",",53,",",7.501322746
369,11,",",55,",",7.083485126
370,11,",",53.00640488,",",7.5
371,11,",",57,",",6.667577744
372,11,",",59,",",6.249686241
373,11,",",57.80677414,",",6.5
374,11,",",61,",",5.831479073
375,9.762981415,",",63,",",5.5
376,11,",",63,",",5.414485455
377,11,",",62.592556,",",5.5
378,11,",",65,",",4.995364189
379,11,",",67,",",4.57922411
380,11,",",69,",",4.16165638
381,11,",",67.38149261,",",4.5
382,11,",",71,",",3.746474981
383,11,",",73,",",3.332762957
384,11,",",72.19417572,",",3.5
385,11,",",75,",",2.919831276
386,11,",",77,",",2.510879278
387,11,",",79,",",2.10153234
388,11,",",77.05337524,",",2.5
389,11,",",81,",",1.696454763
390,11,",",83,",",1.293673038
391,11,",",81.97724915,",",1.5
392,11,",",85,",",0.893541366
393,10.97657013,",",87,",",0.5
394,11,",",86.99082947,",",0.5
395,13,",",1,",",16.63765144
396,13,",",3,",",16.54643822
397,13,",",5,",",16.36937046
398,13,",",3.55605793,",",16.5
399,13,",",7,",",16.1278677
400,13,",",9,",",15.84369469
401,13,",",11,",",15.53089619
402,13,",",13,",",15.18513584
403,13,",",11.19073582,",",15.5
404,13,",",15,",",14.82858849
405,12.540061,",",17,",",14.5
406,13,",",17,",",14.46598625
407,13,",",16.82251644,",",14.5
408,13,",",19,",",14.08865547
409,13,",",21,",",13.71318531
410,13,",",23,",",13.3341732
411,13,",",22.14770317,",",13.5
412,13,",",25,",",12.95093346
413,13,",",27,",",12.57086372
414,13,",",29,",",12.18382454
415,13,",",27.37672997,",",12.5
416,13,",",31,",",11.797369
417,11.77921486,",",33,",",11.5
418,13,",",33,",",11.41039562
419,13,",",32.54698372,",",11.5
